data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds	num iterations	condition num
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.1000287e-06	6465.9459	0.00029824184	350	10000

FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.7016846e-07	0.1703123	1.1275567e-11	40	100000
FLOAT	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.4675591e-07	0.0196374	4.6549333e-12	40	100000
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.6357989e-07	0.5828418	2.7870211e-06	40	100000

FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.4316578e-07	1.4156293	4.3594284e-06	77	100000
FLOAT	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.8112788e-07	0.0847001	1.4618778e-12	77	100000
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.401167e-07	1.6274834	5.1150988e-06	77	100000

FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.5238392e-07	5.9594625	0.00016188437	103	100000
FLOAT	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.1582414e-07	0.1872498	3.39384e-11	91	100000
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.1114066e-07	7.9275166	0.00065290241	103	100000

FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1535243e-07	26.316442	1.4727587e-07	113	100000
FLOAT	MATRIX_ROW_MAJOR	512	512	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2853504e-07	0.8335	2.9411241e-07	111	100000
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.068778e-07	31.714875	9.8079633e-06	112	100000

FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.2095149e-07	213.67985	3.0517566e-06	223	100000
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1300192e-07	4.8233333	1.4069335e-05	180	100000
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	4.2302385e-07	234.0056	0.00010618106	205	100000

FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.1391737e-07	788.73576	9.7061887e-06	202	100000
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.261937e-07	62.542904	0.0010918824	197	100000
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.9802378e-07	913.1982	0.0015259898	198	100000

FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.328532e-07	8284.617	0.00029229792	529	100000
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.2755137e-07	880.38372	0.00087970727	480	100000
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	5.1877157e-07	8935.6596	0.55066353	484	100000

DOUBLE	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2638051e-09	0.0488875	1.00565e-11	11	1
DOUBLE	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2638051e-09	0.0102416	9.5729333e-12	11	1

DOUBLE	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2353516e-10	0.2422585	2.2815748e-07	11	1
DOUBLE	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2353515e-10	0.026221	1.7323556e-11	11	1

DOUBLE	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.4711898e-09	0.7419127	9.4838843e-07	9	1
DOUBLE	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.4711898e-09	0.0512419	1.3050767e-11	9	1

DOUBLE	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.6629266e-10	2.0834375	1.5342705e-08	8	1
DOUBLE	MATRIX_ROW_MAJOR	512	512	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.6629267e-10	0.1332123	1.052929e-10	8	1

DOUBLE	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.9667976e-10	7.7134666	2.2916316e-07	7	1
DOUBLE	MATRIX_ROW_MAJOR	1024	1024	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.9667975e-10	0.5885584	7.6049452e-09	7	1

